State,FunctionalCategory,AgencyOrDivision,Title,Description,Format,Link,,,
Alabama,Disability/DMV,Dept. of Revenue,Application for Disability Access Parking Credentials,Application for disability placards/license plate decals for individuals or organizations; includes medical certification.,PDF,https://www.revenue.alabama.gov/wp-content/uploads/2022/08/MVR-32-6-230-12-21-fillable.pdf,,,
Alabama,Workforce/Labor,Dept. of Human Resources,Employment & Training Vendor Proposal (A-RESET SNAP E&T Program),"Extensive RFP document for vendors providing SNAP work/training, including services list, job descriptions, and employment/training forms.",DOCX,https://dhr.alabama.gov/wp-content/uploads/2022/02/FINAL-DRAFT-RFP-500-02-EMPLOYMENT-AND-TRAINING-VENDOR-PROPOSALupdated-B.docx,,,
Alabama,Child Care/Workforce,Dept. of Human Resources,Child Care Workforce Stabilization Grant Application,Application for pandemic-era bonuses for child care workers; addresses eligibility for facilities,PDF,https://dhr.alabama.gov/wp-content/uploads/2023/08/FINAL_DoubleTCR_Grant_Application.pdf,,,
Alabama,Education/Special Needs,Dept. of Rehabilitation Services,Children's Early Intervention System—Vendor Application & Central Resource Directory Form,Application package for specialists and vendors to provide services to families of children with developmental delays.,PDF,https://www.rehab.alabama.gov/documents/ei/for_vendors_and_ei_providers/EI%20Vendor%20application-revised-08-2023.pdf,,,
Alabama,Child Care/Support,Dept. of Human Resources,Central Resource Directory Form—Early Intervention System,Form for registering as a resource/service provider for infants/toddlers with developmental delays.,PDF,https://rehab.alabama.gov/documents/ei/Central_Resource_Directory/Central%20Resource%20Directory%20Form%20(1).pdf,,,
Alabama,Auto/DMV,Dept. of Revenue,Motor Vehicle Inspection/Title Application—MVT 5-9,Form for licensing officials to appoint representatives for vehicle or manufactured home/vessel physical inspection and title application.,PDF,https://www.revenue.alabama.gov/wp-content/uploads/2023/12/MVT-5-9-6-23.pdf,,,
Alabama,Disability Services,Dept. of Rehabilitation Services,Vendor Application (Early Intervention Services),Professional vendor/service application for AEIS,PDF,https://www.rehab.alabama.gov/documents/ei/for_vendors_and_ei_providers/EI%20Vendor%20application-revised-08-2023.pdf,,,
Alabama,Business Incorporation,Secretary of State,Certificate of Incorporation—Nonprofit Corporation,"Form and details to incorporate a nonprofit; outlines eligibility, required attachments, mailing procedures.",PDF,https://www.sos.alabama.gov/sites/default/files/2023-12/NonProfitIncorporation.pdf,,,
Alabama,Professional Vendors/Public Bids,Dept. of Human Resources,Employment/Training RFP—Vendor ID/TIN/Attestation Forms,MS Word documents as part of bids/RFPs to attest to business structure,DOCX,https://dhr.alabama.gov/wp-content/uploads/2022/02/FINAL-DRAFT-RFP-500-02-EMPLOYMENT-AND-TRAINING-VENDOR-PROPOSALupdated-B.docx,,,
Alabama,MSWord-Flag,Comptroller,Voucher Request for Payment,MSWord form for requesting state voucher payments (flagged as high remediation priority).,DOC,http://comptroller.alabama.gov/wp-content/uploads/2019/06/VOUCHER-REQUEST-FORM-AMBER-SHAFFER.doc,,,
Alaska,Workforce/Employment,Dept. of Administration,Workplace Alaska Standard Employment Application,Comprehensive job application for all State of Alaska positions; includes contact,PDF,https://doa.alaska.gov/dop/fileadmin/StatewideHR/pdf/WPAPaperApplication.pdf,,,
Alaska,Disability/DMV,DMV,Voluntary Disability Designator Application,For adding/removing disability designator on Alaska ID/driver license; requires applicant and physician sections.,PDF,https://dmv.alaska.gov/media/p5djgem5/486.pdf,,,
Alaska,Vocational Rehabilitation,Department of Labor,Community Rehabilitation Provider Application,Application for providers seeking to deliver rehabilitation services to disabled persons as contractors to the state.,PDF,https://labor.alaska.gov/dvr/crp/crp-app.pdf,,,
Alaska,Courts/Family Law,Alaska Court System,Uncontested Custody Complaint (Family Law),MS Word form to initiate uncontested child custody actions in Alaska courts; standardized for all counties.,DOC,https://courts.alaska.gov/shc/family/docs/shc-170.doc,,,
Alaska,Courts/Health,Alaska Court System,Alaska Advance Health Care Directive,MS Word form booklet for creating statutory health care directives; includes guidance for completion.,DOC,https://courts.alaska.gov/shc/family/docs/aahc-directive.doc,,,
Alaska,Environmental Response,DEC,Form 204 - Incident Documentation/Environmental Response,Fillable MSWord document for capturing details during environmental incidents (oil spills,DOCX,https://dec.alaska.gov/media/1390/form-204-fillable.docx,,,
Alaska,Alcohol Licensing,Commerce/Alcohol Board,Supplier Certification (Form AB-25),Certification required for alcohol suppliers/distillers; product line and compliance attestation.,PDF,https://www.commerce.alaska.gov/web/Portals/9/pub/ABC/AlcoholLicenseApplicationForms/AB-25.pdf,,,
Alaska,Disability/Workplace,Dept. of Administration,ADA Accommodation Request (Form EEOP 501),ADA accommodations application for employees; work tasks,PDF,https://doa.alaska.gov/ada/forms/ADAAccommodationPacket.pdf,,,
Alaska,Health/Vocational Rehab,Dept. of Retirement Benefits,Certification of Vocational Rehabilitation (PERS045),Form for certifying participation in vocational rehabilitation for public employees retirement purposes.,PDF,https://drb.alaska.gov/docs/forms/pers045.pdf,,,
Alaska,Environmental/Construction,DOT,Construction Stormwater Plan Worksheet (Form 25D-100),MS Word form for stormwater pollution prevention planning; required for DOT construction projects.,DOC,https://dot.alaska.gov/stwddes/dcsconst/assets/docs/constforms/swppp_forms/25d100.doc,,,
Arizona,Insurance Licensing,Dept. of Insurance,Insurance License Application (Individual) - Form L-169,Comprehensive insurance producer/agent/broker license application; paper form alternative to online portal.,PDF,https://insurance.az.gov/sites/default/files/documents/files/form_l-169_0.pdf,,,
Arizona,Health/TPA Compliance,Dept. of Insurance,Life and Health TPA Information Update (Form E-115),"To update business name, officers, or ownership for licensed third-party health/insurance administrators.",PDF,https://difi.az.gov/sites/default/files/Form%20E-115%20TPA%20Information%20Update_0_0.pdf,,,
Arizona,Workforce/Employment,Department of Administration,"State Employment/HR Forms (multiple, including Job Offer Letter, FMLA Letters, Disability Preference)","Suite of downloadable HR forms for agency use; many are fillable PDF or DOCX templates for employment actions, FMLA, disability accommodation, etc.",PDF/DOCX,https://hr.az.gov/about/resources/hr-forms-and-templates,,,
Arizona,Child Welfare/Health,Dept. of Child Safety,CSO-1104A Response by Relative/Person Having Care,"MS Word form for responses regarding child welfare, health records, or case management (forms library includes many DOCs for DCS care).",DOC,https://dcs.az.gov/sites/default/files/DCS-Forms/CSO-1104A_0.doc,,,
Arizona,IT/Security/Governance,Strategic Enterprise Technology,Risk Acceptance Form,"Department-level MS Word template for documenting and accepting, rather than remediating, IT/Security deficiencies. Key target for accessibility work.",DOCX,https://aset.az.gov/sites/default/files/Risk%20Acceptance%20Form.docx,,,
Arizona,Disability/Physical Therapy,State Board of Physical Therapy,Special Accommodations Request and Documentation of Disability,PDF form for requesting ADA testing accommodations for licensing/board exams; requires medical disclosure and documentation.,PDF,https://ptboard.az.gov/sites/default/files/documents/files/ADA%20Forms%20Filable.pdf,,,
Arizona,Health/TPA Licensing,Dept. of Insurance,"Biographical Affidavit (Form E-100-B, UCAA Form 11)",Required form for all board members/officers when updating TPA licensing info; ensures personal/financial transparency.,PDF,https://difi.az.gov/sites/default/files/documents/files/Form%20E-100-B%20TPA%20Biographical%20List_0.pdf,,,
Arizona,Disability/Tax,County Assessor,Certification of Disability for Property Tax Exemption,Local government form to certify qualifying disabilities for property tax exemption; includes medical certification and signature fields.,PDF,https://graham.az.gov/DocumentCenter/View/10777/Certification-Of-Disability-For-Property-Tax-Exemption-82514B-PDF,,,
Arizona,Paratransit/ADA,Mountain Line,ADA Paratransit Application,"Form for qualifying persons to apply for paratransit accessibility services; covers disability, eligibility, and contact info.",PDF,https://mountainline.az.gov/wp-content/uploads/2019/12/ADA-Paratransit-Application-Part-A-and-B.pdf,,,
Arizona,Health/Child Welfare,Dept. of Child Safety,Request for Restriction of Protected Health Information (DCS-1046A),MS Word template for restricting/investigating health records protection for children/family division.,DOC,https://dcs.az.gov/sites/default/files/DCS-Forms/DCS-1046A.doc,,,
Arizona,IT/Governance,Dept. of Administration,HRIS Security Authority Delegate Form,MS Word template for delegating authority for HR record access/system control. Used statewide for internal IT/HCM permissions.,DOCX,https://hr.az.gov/sites/default/files/2022-06/HRIS%2520Security%2520Authority%2520Delegate%2520Form.docx,,,
Alabama,Disability/DMV,Dept. of Revenue,Application for Disability Access Parking Credentials,Application for disability placards/license plate decals for individuals or organizations; includes medical certification.,PDF,https://www.revenue.alabama.gov/wp-content/uploads/2022/08/MVR-32-6-230-12-21-fillable.pdf,,,
Alabama,Workforce/Labor,Dept. of Human Resources,Employment & Training Vendor Proposal (A-RESET SNAP E&T Program),"Extensive RFP document for vendors providing SNAP work/training, including services list, job descriptions, and employment/training forms.",DOCX,https://dhr.alabama.gov/wp-content/uploads/2022/02/FINAL-DRAFT-RFP-500-02-EMPLOYMENT-AND-TRAINING-VENDOR-PROPOSALupdated-B.docx,,,
Alabama,Child Care/Workforce,Dept. of Human Resources,Child Care Workforce Stabilization Grant Application,Application for pandemic-era bonuses for child care workers; addresses eligibility for facilities,PDF,https://dhr.alabama.gov/wp-content/uploads/2023/08/FINAL_DoubleTCR_Grant_Application.pdf,,,
Alabama,Education/Special Needs,Dept. of Rehabilitation Services,Children's Early Intervention System—Vendor Application & Central Resource Directory Form,Application package for specialists and vendors to provide services to families of children with developmental delays.,PDF,https://www.rehab.alabama.gov/documents/ei/for_vendors_and_ei_providers/EI%20Vendor%20application-revised-08-2023.pdf,,,
Alabama,Child Care/Support,Dept. of Human Resources,Central Resource Directory Form—Early Intervention System,Form for registering as a resource/service provider for infants/toddlers with developmental delays.,PDF,https://rehab.alabama.gov/documents/ei/Central_Resource_Directory/Central%20Resource%20Directory%20Form%20(1).pdf,,,
Alabama,Auto/DMV,Dept. of Revenue,Motor Vehicle Inspection/Title Application—MVT 5-9,Form for licensing officials to appoint representatives for vehicle or manufactured home/vessel physical inspection and title application.,PDF,https://www.revenue.alabama.gov/wp-content/uploads/2023/12/MVT-5-9-6-23.pdf,,,
